ID Key,Patient Code,PAT id(SSAM),Name,Subtype,Country,Sampling Year,Sampling Year Upper,HXB2/MAC239 start,HXB2/MAC239 stop,Sequence Length,Organism
FJ388938,CY140,32496,CY140,A1,CYPRUS,2005,2005,790,8930,8171,HIV-1
FJ388939,CY141,32473,CY141,B,CYPRUS,2005,2005,790,8930,8172,HIV-1
FJ388940,CY149,32501,CY149,B,CYPRUS,2005,2005,789,8930,8118,HIV-1
FJ388941,CY150,32464,CY150,B,CYPRUS,2005,2005,790,8930,8178,HIV-1
FJ388942,CY153,29285,CY153,A1,CYPRUS,2005,2005,790,8930,8147,HIV-1
FJ388956,CY030,32493,CY030,B,CYPRUS,2005,2005,790,8930,8170,HIV-1
FJ388957,CY033,32465,CY033,B,CYPRUS,2005,2005,790,8930,8139,HIV-1
FJ388958,CY035,29298,CY035,B,CYPRUS,2005,2005,790,8930,8190,HIV-1
FJ388959,CY036,32462,CY036,B,CYPRUS,2005,2005,790,8930,8152,HIV-1
FJ388960,CY070,32499,CY070,B,CYPRUS,2005,2005,790,8930,8107,HIV-1
FJ388961,CY077,32469,CY077,BC,CYPRUS,2005,2005,790,8930,8149,HIV-1
FJ388962,CY082,32511,CY082,B,CYPRUS,2005,2005,790,8930,8125,HIV-1
FJ388963,CY096,32519,CY096,B,CYPRUS,2005,2005,790,8930,8155,HIV-1
FJ388964,CY100,32505,CY100,B,CYPRUS,2005,2005,790,8930,8122,HIV-1
FJ388965,CY142,29316,CY142,B,CYPRUS,2005,2005,790,8930,8178,HIV-1
FJ403482,CY122,32476,CY122,B,CYPRUS,2005,2005,791,8930,8120,HIV-1
FJ469682,,,01144G,B,UNITED STATES,2005,2005,769,9627,8958,HIV-1
FJ469683,,,012286G,B,UNITED STATES,2005,2005,768,9432,8735,HIV-1
FJ469703,,,CR0175S,B,UNITED STATES,2005,2005,768,9631,8887,HIV-1
FJ469706,,,CR0208W,B,UNITED STATES,2005,2005,768,9632,8950,HIV-1
FJ469717,,,CR0307R,B,UNITED STATES,2005,2005,628,9435,8865,HIV-1
FJ469718,CR0312W,22974,CR0312W,B,UNITED STATES,2005,2005,776,9601,8852,HIV-1
FJ469724,,,CR0367Z,B,UNITED STATES,2005,2005,767,9632,8923,HIV-1
FJ469746,L8249,30572,L8249,B,UNITED STATES,2005,2005,776,9606,8864,HIV-1
FJ469747,,,L827,B,UNITED STATES,2005,2005,777,9421,8650,HIV-1
FJ496081,4013396,31193,04013396_0_flE6,B,UNITED STATES,2005,2005,582,9606,9049,HIV-1
FJ496082,4013396,31193,04013396_0_flF3,B,UNITED STATES,2005,2005,582,9606,9049,HIV-1
FJ496083,4013396,31193,04013396_0_flF4,B,UNITED STATES,2005,2005,582,9606,9048,HIV-1
FJ496084,4013396,31193,04013396_0_flG7,B,UNITED STATES,2005,2005,582,9606,9049,HIV-1
FJ496085,4013396,31193,04013396_0_flG8,B,UNITED STATES,2005,2005,582,9606,9049,HIV-1
FJ670515,X230,35977,X230_10,02A1,SPAIN,2005,2005,543,9509,9010,HIV-1
FJ670519,X1608,35962,X1608-8,A1,SPAIN,2005,2005,546,9508,9017,HIV-1
FJ670520,X1628,35974,X1628-2,G,SPAIN,2005,2005,550,9509,9018,HIV-1
FJ670521,X1702,35953,X1702-3,C,SPAIN,2005,2005,700,9509,8848,HIV-1
FJ670522,X1870_ARP1083,35975,X1870,14_BG,SPAIN,2005,2005,542,9508,9028,HIV-1
FJ670528,X772_ARP1097,35960,X772-8,14_BG,SPAIN,2005,2005,554,9508,9007,HIV-1
FJ694792,,,CC_0048,02_AG,GUINEA-BISSAU,2005,2005,639,9371,8765,HIV-1
GQ277610,MYKL045,19045,05MYKL045_1,33_01B,MALAYSIA,2005,2005,634,9690,9153,HIV-1
GQ365650,,,05_BR_NSP24,BC,BRAZIL,2005,2005,418,9668,9294,HIV-1
GQ845124,05GX034,35506,05GX034,01_AE,CHINA,2005,2005,764,9611,8835,HIV-1
GQ845125,05GX079,35504,05GX079,01_AE,CHINA,2005,2005,764,9612,8830,HIV-1
GQ845126,05GX128,35503,05GX128,01_AE,CHINA,2005,2005,764,9547,8793,HIV-1
GQ999972,CAP8,20433,CAP8_3w_F2,C,SOUTH AFRICA,2005,2005,540,9597,9078,HIV-1
GQ999974,CAP45,20442,CAP45_5w_F1,C,SOUTH AFRICA,2005,2005,540,9650,9089,HIV-1
GQ999976,CAP63,28368,CAP63_5w_F4,C,SOUTH AFRICA,2005,2005,540,9650,9114,HIV-1
GQ999977,CAP65,28378,CAP65_6w,C,SOUTH AFRICA,2005,2005,540,9650,9091,HIV-1
GQ999978,CAP84,20443,CAP84_3w_F2,C,SOUTH AFRICA,2005,2005,540,9650,9089,HIV-1
GQ999979,CAP85,20445,CAP85_5w_F1,C,SOUTH AFRICA,2005,2005,540,9650,9139,HIV-1
GQ999980,CAP88,28448,CAP88_5w_F2,C,SOUTH AFRICA,2005,2005,540,9650,9094,HIV-1
GQ999981,CAP174,28371,CAP174_4w,C,SOUTH AFRICA,2005,2005,540,9650,9085,HIV-1
GQ999982,CAP206,20444,CAP206_8w_F1,C,SOUTH AFRICA,2005,2005,540,9650,9080,HIV-1
GQ999983,CAP210,20446,CAP210_5w,C,SOUTH AFRICA,2005,2005,540,9650,9151,HIV-1
GQ999984,CAP228,28366,CAP228_8w_F2,C,SOUTH AFRICA,2005,2005,607,9606,9032,HIV-1
GQ999985,CAP229,29520,CAP229_7w,C,SOUTH AFRICA,2005,2005,540,9650,9092,HIV-1
GQ999986,CAP244,28374,CAP244_8w_F1,C,SOUTH AFRICA,2005,2005,540,9644,9175,HIV-1
GQ999987,CAP248,28375,CAP248_9w,C,SOUTH AFRICA,2005,2005,540,9650,9155,HIV-1
GQ999988,CAP255,23588,CAP255_8w_F1,C,SOUTH AFRICA,2005,2005,581,9650,9065,HIV-1
GQ999989,CAP256,28376,CAP256_6w,C,SOUTH AFRICA,2005,2005,540,9650,9128,HIV-1
GQ999990,CAP257,23587,CAP257_7w_F1,C,SOUTH AFRICA,2005,2005,540,9650,9109,HIV-1
GQ999991,CAP239,13656,CAP239_5w_F1,C,SOUTH AFRICA,2005,2005,540,9650,9099,HIV-1
GU207884,M10,37841,MO108,BF1G,MACAU,2005,2005,618,9552,8879,HIV-1
GU564221,05GX001,35508,05GX001,01_AE,CHINA,2005,2005,780,9613,8811,HIV-1
GU564222,05GX002,35502,05GX002,01_AE,CHINA,2005,2005,777,9613,8782,HIV-1
GU564223,05GX012,35509,05GX012,01_AE,CHINA,2005,2005,768,9614,8856,HIV-1
GU564224,05GX013,35507,05GX013,01_AE,CHINA,2005,2005,770,9613,8817,HIV-1
GU564225,05GX014,35505,05GX014,01_AE,CHINA,2005,2005,769,9613,8843,HIV-1
GU564227,05GX142,35511,05GX142,01_AE,CHINA,2005,2005,764,9612,8824,HIV-1
GU564228,05GX156,35512,05GX156,01_AE,CHINA,2005,2005,790,9612,8795,HIV-1
GU564229,05GX162,35510,05GX162,01_AE,CHINA,2005,2005,764,9611,8820,HIV-1
GU595152,83166,49200,83166,BF1,ITALY,2005,2005,242,9498,9268,HIV-1
GU595158,79867,49198,79867,BF1,ITALY,2005,2005,348,9527,8623,HIV-1
HM586202,MM42,36105,MM42d183_GN1,B,UNITED KINGDOM,2005,2005,790,9414,8603,HIV-1
HM586204,MM42,36105,MM42d324_GN1,B,UNITED KINGDOM,2005,2005,790,9414,8603,HIV-1
HM586207,MM43,36109,MM43d101_GN1,B,UNITED KINGDOM,2005,2005,790,9417,8660,HIV-1
HM586208,MM43,36109,MM43d228_GN1,B,UNITED KINGDOM,2005,2005,790,9417,8660,HIV-1
HM586209,MM43,36109,MM43d368_GN1,B,UNITED KINGDOM,2005,2005,790,9417,8663,HIV-1
HM586210,MM45,36103,MM45d22_GN1,B,UNITED KINGDOM,2005,2005,626,9417,8850,HIV-1
HM586211,MM45,36103,MM45d87_GN1,B,UNITED KINGDOM,2005,2005,626,9417,8850,HIV-1
HM586212,MM45,36103,MM45d213_GN1,B,UNITED KINGDOM,2005,2005,626,9417,8850,HIV-1
JF320043,502-1400,39758,502_1400_FL02,B,UNITED STATES,2005,2005,617,9637,9042,HIV-1
JF320046,502-1400,39758,502_1400_FL05,B,UNITED STATES,2005,2005,617,9572,8977,HIV-1
JF320050,502-1400,39758,502_1400_FL01,B,UNITED STATES,2005,2005,617,9637,9042,HIV-1
JF320054,502-2495,39726,502_2495_wg02,B,UNITED STATES,2005,2005,619,9636,9054,HIV-1
JF320059,502-0223,39731,502_0223_wg1,B,UNITED STATES,2005,2005,615,9641,9098,HIV-1
JF320061,502-2495,39726,502_2495_wg03,B,UNITED STATES,2005,2005,637,9551,8948,HIV-1
JF320066,502-1400,39758,502_1400_FL03,B,UNITED STATES,2005,2005,617,9637,9042,HIV-1
JF320067,502-1400,39758,502_1400_FL04,B,UNITED STATES,2005,2005,617,9637,9032,HIV-1
JF320185,502-2136,39730,502_2136_FL02,B,UNITED STATES,2005,2005,553,9615,9122,HIV-1
JF320188,502-2136,39730,502_2136_FL03,B,UNITED STATES,2005,2005,553,9615,9122,HIV-1
JF320190,502-2136,39730,502_2136_FL05,B,UNITED STATES,2005,2005,553,9615,9122,HIV-1
JF320192,502-2136,39730,502_2136_FL04,B,UNITED STATES,2005,2005,553,9615,9122,HIV-1
JF320194,502-2136,39730,502_2136_FL01,B,UNITED STATES,2005,2005,553,9615,9122,HIV-1
JF320361,502-1926,39691,502_1926_FL01,B,UNITED STATES,2005,2005,789,9496,8752,HIV-1
JF320471,502-1926,39691,502_1926_LH07,B,UNITED STATES,2005,2005,789,5852,5066,HIV-1
JF320472,502-1926,39691,502_1926_LH04,B,UNITED STATES,2005,2005,789,5852,5066,HIV-1
JF320476,502-1926,39691,502_1926_LH05,B,UNITED STATES,2005,2005,789,5852,5066,HIV-1
JF320477,502-1926,39691,502_1926_FL04,B,UNITED STATES,2005,2005,789,9496,8752,HIV-1
JF320478,502-1926,39691,502_1926_FL03,B,UNITED STATES,2005,2005,789,9496,8752,HIV-1
JF320480,502-1926,39691,502_1926_LH06,B,UNITED STATES,2005,2005,789,5852,5066,HIV-1
JF320481,502-1926,39691,502_1926_LH03,B,UNITED STATES,2005,2005,789,5852,5066,HIV-1
JF320482,502-2008,39728,502_2008_FL12,B,UNITED STATES,2005,2005,789,9496,8780,HIV-1
JF320483,502-1926,39691,502_1926_FL02,B,UNITED STATES,2005,2005,789,9496,8752,HIV-1
JF320484,502-2008,39728,502_2008_FL04,B,UNITED STATES,2005,2005,789,9496,8783,HIV-1
JF320485,502-2008,39728,502_2008_FL08,B,UNITED STATES,2005,2005,789,9496,8780,HIV-1
JF320486,502-2008,39728,502_2008_FL03,B,UNITED STATES,2005,2005,789,9496,8783,HIV-1
JF320487,502-2008,39728,502_2008_FL01,B,UNITED STATES,2005,2005,789,9496,8780,HIV-1
JF320488,502-2008,39728,502_2008_FL10,B,UNITED STATES,2005,2005,789,9496,8783,HIV-1
JF320489,502-2008,39728,502_2008_FL11,B,UNITED STATES,2005,2005,789,9496,8783,HIV-1
JF320490,502-2008,39728,502_2008_FL02,B,UNITED STATES,2005,2005,789,9496,8783,HIV-1
JF320491,502-2008,39728,502_2008_FL09,B,UNITED STATES,2005,2005,789,9496,8732,HIV-1
JF320492,502-2008,39728,502_2008_FL07,B,UNITED STATES,2005,2005,789,9496,8783,HIV-1
JF804805,0008SP,49980,0008SP,BF1,BRAZIL,2005,2005,638,9536,8943,HIV-1
JF804806,0063SP,49981,0063SP,29_BF,BRAZIL,2005,2005,760,9576,8858,HIV-1
JF804807,0264RI,49982,0264RI,29_BF,BRAZIL,2005,2005,720,9574,8838,HIV-1
JF804808,0341RI,49983,0341RI,BF1,BRAZIL,2005,2005,773,9472,8775,HIV-1
JF804809,0614SV,49984,0614SV,28_BF,BRAZIL,2005,2005,782,9579,8836,HIV-1
JF804810,0632SV,49985,0632SV,BF1,BRAZIL,2005,2005,708,9479,8741,HIV-1
JF804811,0647SV,49986,0647SV,29_BF,BRAZIL,2005,2005,758,9562,8858,HIV-1
JF804812,0679SV,49987,0679SV,28_BF,BRAZIL,2005,2005,655,9570,8948,HIV-1
JF804813,0736SV,49988,0736SV,BF1,BRAZIL,2005,2005,782,9589,8843,HIV-1
JN024120,PIC83747,49641,USPI83747EI21y05011pcWG2B5,B,UNITED STATES,2005,2005,582,9636,9096,HIV-1
JN024121,PIC83747,49641,USPI83747EI21y05011pcWG2B4,B,UNITED STATES,2005,2005,582,9636,9095,HIV-1
JN024122,PIC83747,49641,USPI83747EI21y05011pcWG2B10,B,UNITED STATES,2005,2005,582,9636,9094,HIV-1
JN024123,PIC83747,49641,USPI83747EI21y05011pcWG2B1,B,UNITED STATES,2005,2005,582,9636,9093,HIV-1
JN024124,PIC83747,49641,USPI83747EI21y05011pcWG2B8,B,UNITED STATES,2005,2005,582,9636,9094,HIV-1
JN024125,PIC83747,49641,USPI83747EI21y05011pcWG2B3,B,UNITED STATES,2005,2005,582,9636,9093,HIV-1
JN024126,PIC83747,49641,USPI83747EI21y05011pcWG2B6,B,UNITED STATES,2005,2005,582,9636,9094,HIV-1
JN024127,PIC83747,49641,USPI83747EI21y05011pcWG2B7,B,UNITED STATES,2005,2005,582,9636,9094,HIV-1
JN024128,PIC83747,49641,USPI83747EI21y05011pcWG2B2,B,UNITED STATES,2005,2005,582,9636,9094,HIV-1
JN024129,PIC83747,49641,USPI83747EI21y05011pcWG2B9,B,UNITED STATES,2005,2005,582,9636,9093,HIV-1
JN024130,PIC83747,49641,USPI83747EI42y05011pcWG2B3,B,UNITED STATES,2005,2005,582,9615,9072,HIV-1
JN024131,PIC83747,49641,USPI83747EI42y05011pcWG2B8,B,UNITED STATES,2005,2005,582,9603,9062,HIV-1
JN024132,PIC83747,49641,USPI83747EI42y05011pcWG2B10,B,UNITED STATES,2005,2005,582,9615,9073,HIV-1
JN024133,PIC83747,49641,USPI83747EI42y05011pcWG2B2,B,UNITED STATES,2005,2005,582,9615,9054,HIV-1
JN024134,PIC83747,49641,USPI83747EI42y05011pcWG2B4,B,UNITED STATES,2005,2005,582,9615,9054,HIV-1
JN024135,PIC83747,49641,USPI83747EI42y05011pcWG2B7,B,UNITED STATES,2005,2005,582,9615,9055,HIV-1
JN024136,PIC83747,49641,USPI83747EI42y05011pcWG2B1,B,UNITED STATES,2005,2005,582,9615,9055,HIV-1
JN024137,PIC83747,49641,USPI83747EI42y05011pcWG2B5,B,UNITED STATES,2005,2005,582,9615,9073,HIV-1
JN024138,PIC83747,49641,USPI83747EI42y05011pcWG2B6,B,UNITED STATES,2005,2005,582,9615,9073,HIV-1
JN024139,PIC83747,49641,USPI83747EI48y05021pcWG2B1,B,UNITED STATES,2005,2005,582,9602,9059,HIV-1
JN024140,PIC83747,49641,USPI83747EI48y05021pcWG2B2,B,UNITED STATES,2005,2005,582,9603,9012,HIV-1
JN024141,PIC83747,49641,USPI83747EI48y05021pcWG2B10,B,UNITED STATES,2005,2005,582,9636,9094,HIV-1
JN024142,PIC83747,49641,USPI83747EI48y05021pcWG2B6,B,UNITED STATES,2005,2005,582,9602,9060,HIV-1
JN024143,PIC83747,49641,USPI83747EI48y05021pcWG2B9,B,UNITED STATES,2005,2005,582,9636,9094,HIV-1
JN024144,PIC83747,49641,USPI83747EI48y05021pcWG2B3,B,UNITED STATES,2005,2005,582,9615,9073,HIV-1
JN024145,PIC83747,49641,USPI83747EI48y05021pcWG2B7,B,UNITED STATES,2005,2005,582,9636,9094,HIV-1
JN024146,PIC83747,49641,USPI83747EI48y05021pcWG2B5,B,UNITED STATES,2005,2005,582,9615,9073,HIV-1
JN024147,PIC83747,49641,USPI83747EI48y05021pcWG2B4,B,UNITED STATES,2005,2005,582,9602,9042,HIV-1
JN024148,PIC83747,49641,USPI83747EI48y05021pcWG2B8,B,UNITED STATES,2005,2005,582,9636,9076,HIV-1
JN024149,PIC83747,49641,USPI83747EI57y05021pcWG2B3,B,UNITED STATES,2005,2005,582,9603,9044,HIV-1
JN024150,PIC83747,49641,USPI83747EI57y05021pcWG2B4,B,UNITED STATES,2005,2005,582,9603,9061,HIV-1
JN024151,PIC83747,49641,USPI83747EI57y05021pcWG2B9,B,UNITED STATES,2005,2005,582,9603,9061,HIV-1
JN024152,PIC83747,49641,USPI83747EI57y05021pcWG2B7,B,UNITED STATES,2005,2005,582,9603,9044,HIV-1
JN024153,PIC83747,49641,USPI83747EI57y05021pcWG2B6,B,UNITED STATES,2005,2005,582,9603,9061,HIV-1
JN024154,PIC83747,49641,USPI83747EI57y05021pcWG2B8,B,UNITED STATES,2005,2005,582,9603,9062,HIV-1
JN024155,PIC83747,49641,USPI83747EI57y05021pcWG2B10,B,UNITED STATES,2005,2005,582,9603,9062,HIV-1
JN024156,PIC83747,49641,USPI83747EI57y05021pcWG2B5,B,UNITED STATES,2005,2005,582,9603,9049,HIV-1
JN024157,PIC83747,49641,USPI83747EI57y05021pcWG2B2,B,UNITED STATES,2005,2005,582,9603,9061,HIV-1
JN024158,PIC83747,49641,USPI83747EI57y05021pcWG2B1,B,UNITED STATES,2005,2005,582,9603,9044,HIV-1
JN024159,PIC83747,49641,USPI83747EI69y05021pcWG2B16,B,UNITED STATES,2005,2005,582,9604,9044,HIV-1
JN024160,PIC83747,49641,USPI83747EI69y05021pcWG2B11,B,UNITED STATES,2005,2005,582,9604,9062,HIV-1
JN024161,PIC83747,49641,USPI83747EI69y05021pcWG2B13,B,UNITED STATES,2005,2005,582,9604,9061,HIV-1
JN024162,PIC83747,49641,USPI83747EI69y05021pcWG2B12,B,UNITED STATES,2005,2005,582,9604,9043,HIV-1
JN024163,PIC83747,49641,USPI83747EI69y05021pcWG2B14,B,UNITED STATES,2005,2005,582,9603,9062,HIV-1
JN024164,PIC83747,49641,USPI83747EI69y05021pcWG2B15,B,UNITED STATES,2005,2005,582,9604,9046,HIV-1
JN024165,PIC83747,49641,USPI83747EI98y05031pcWG2B8,B,UNITED STATES,2005,2005,582,9603,9060,HIV-1
JN024166,PIC83747,49641,USPI83747EI98y05031pcWG2B5,B,UNITED STATES,2005,2005,582,9603,8968,HIV-1
JN024167,PIC83747,49641,USPI83747EI98y05031pcWG2B2,B,UNITED STATES,2005,2005,582,9603,9060,HIV-1
JN024168,PIC83747,49641,USPI83747EI98y05031pcWG2B7,B,UNITED STATES,2005,2005,582,9603,9042,HIV-1
JN024169,PIC83747,49641,USPI83747EI98y05031pcWG2B4,B,UNITED STATES,2005,2005,582,9603,9061,HIV-1
JN024170,PIC83747,49641,USPI83747EI98y05031pcWG2B11,B,UNITED STATES,2005,2005,582,9603,9061,HIV-1
JN024171,PIC83747,49641,USPI83747EI98y05031pcWG2B10,B,UNITED STATES,2005,2005,582,9603,9055,HIV-1
